,value,var,isspike,Consumption_Oil,Consumption_Gas,Humidity,Precip,TempAvg,TempMax,TempMin,Wind_v,Wind_x,Wind_y,local_traffic,location,total_traffic,predicted,exp_value,reduction,error
2010-01-01,37.3,5.68488421137,0.0,10632.2424242,460580.697948,82.9166666667,0.03,2.5125,4.4,0.6,3.375,0.44858518513,-0.140618267386,0.524714374527,2.0,0.409450983712,31.0072852972,32.8251480964,-1.81786279911,6.29271470275
2010-01-02,19.5,4.91945653823,0.0,10802.9969697,460209.227309,60.9166666667,0.02,-4.0625,0.0,-8.3,12.625,0.0995427127626,-0.315800797749,0.148463272314,2.0,0.239983881972,17.7812695148,18.1125890358,-0.331319520991,1.71873048519
2010-01-03,14.7,2.44566682765,0.0,10973.7515152,459837.75667,56.0,0.0,-6.95416666667,-5.6,-8.3,14.2916666667,0.155460218735,-0.468790107263,0.134975023577,2.0,0.217027704281,13.3294955474,13.6134452234,-0.28394967608,1.37050445265
2010-01-04,15.0,2.97642786021,0.0,11144.5060606,459466.28603,55.9583333333,0.0,-4.77916666667,-1.1,-6.7,10.5416666667,0.13419388086,-0.473182711907,0.156740160992,2.0,0.200475368165,17.6876006835,18.0285950129,-0.340994329373,-2.68760068355
2010-01-05,18.4,4.08494991273,0.0,11315.2606061,459094.815391,56.625,0.0,-3.6875,-1.1,-6.1,9.58333333333,0.106558211332,-0.438921000572,0.146655368397,2.0,0.268061041936,15.5440970596,15.8452909928,-0.301193933243,2.85590294044
2010-01-06,13.4,2.79603477402,0.0,11486.0151515,458723.344752,56.2083333333,0.0,-1.7125,1.1,-3.3,9.5,0.126538692207,-0.347662199526,0.226169931832,2.0,0.29303074418,17.6269919349,18.0635848986,-0.43659296364,-4.22699193493
2010-01-07,19.0,3.87490706494,0.0,11656.769697,458351.874113,62.7083333333,0.0,0.566666666667,2.8,-1.1,8.70833333333,0.106778053499,-0.563901766875,0.307706195553,2.0,0.385926489145,21.6210656563,22.3487806361,-0.72771497986,-2.62106565627
2010-01-08,26.0,4.87308304934,0.0,11827.5242424,457980.403473,69.5,0.05,-1.6,0.6,-5.0,7.625,0.125,-0.386779911198,0.317922584453,2.0,0.363837662109,,,,
2010-01-11,25.5,4.00674431428,0.0,12339.7878788,456865.991556,48.5416666667,0.0,-2.87916666667,-0.6,-6.1,7.25,-0.0135979925972,-0.529159746016,0.130398729789,2.0,0.217722245869,23.1822241649,23.5742903591,-0.392066194191,2.31777583507
2010-01-12,29.7,5.30225375926,0.0,12510.5424242,456494.520916,52.8333333333,0.0,-1.50416666667,1.1,-4.4,9.20833333333,0.161170023888,-0.41910470867,0.251594901582,2.0,0.31439208516,20.5081721821,21.0230645791,-0.514892396926,9.19182781785
2010-01-13,26.9,5.53815051358,0.0,12681.2969697,456123.050277,52.9166666667,0.0,-1.34166666667,1.7,-4.4,7.875,0.0692956564021,-0.553370227482,0.20093943244,2.0,0.296372275228,20.9039593393,21.3348459564,-0.430886617081,5.99604066067
2010-01-14,31.0,3.82144738874,0.0,12852.0515152,455751.579638,53.9583333333,0.0,1.86666666667,5.0,-1.1,3.45833333333,0.25913437161,-0.158798315639,0.289727147278,2.0,0.34223033779,29.7374761699,30.3592322475,-0.621756077666,1.26252383015
2010-01-15,43.7,6.36488185393,0.0,13022.8060606,455380.108999,50.0833333333,0.0,5.41666666667,9.4,2.8,7.75,-0.0235973264781,-0.377421219758,0.3614016275,2.0,0.451968437943,25.7120831073,26.0333099438,-0.321226836501,17.9879168927
2010-01-16,36.7,7.84208153194,0.0,13193.5606061,455008.638359,55.2083333333,0.0,6.225,9.4,3.3,6.41666666667,0.0484690028618,-0.445193402392,0.297974631188,2.0,0.405494583044,27.1827271462,27.5429611143,-0.360233968143,9.51727285384
